category,gDork
Files Containing Passwords,intext:"Index of" intext:"password.zip" 

Files Containing Juicy Info,intext:"index of" "home_page" 

Files Containing Juicy Info,inurl:/mutillidae/ "Toggle Hints" 

Files Containing Juicy Info,filetype:txt site:gitlab.* "secret" OR "authtoken" 

Pages Containing Login Portals,site:gov.in inurl:/admin/login 

Files Containing Juicy Info,intext:"index of" inurl:/etc/ 

Pages Containing Login Portals,inurl:login.net 

Files Containing Juicy Info,inurl: */.env 

Pages Containing Login Portals,inurl: ext:php inurl:login 

Files Containing Juicy Info,index of: "invoice" "upload" 

Files Containing Juicy Info,intitle:"index of" "dhcp" 

Files Containing Juicy Info,intext:"Index of" intext:"users.zip" 

Pages Containing Login Portals,site:com inurl:/admin/login 

Files Containing Juicy Info,intitle:"index of" "/.git/config" 

Pages Containing Login Portals,site:.edu.in inurl:login.aspx 

Files Containing Juicy Info,intext:"Index of" "services.php | pass.php | passwd.php | credentials.txt" 

Pages Containing Login Portals,inurl:gov.in 

Files Containing Juicy Info,index of: "participants" "uploads" 

Files Containing Juicy Info,intext:"sitemap" filetype:txt 

Files Containing Juicy Info,index of: "marksheet" "upload" 

Files Containing Juicy Info,intext:"index of" "user-config" 

Files Containing Juicy Info,intext:"index of" "signin" 

Files Containing Juicy Info,intitle:"index of" "*/ftp.txt" 

Pages Containing Login Portals,intitle:MailEnable inurl:"/Login.aspx" 

Pages Containing Login Portals,inurl: ext:php inurl:login 

Pages Containing Login Portals,inurl: ext:php inurl:login 

Files Containing Juicy Info,inurl:cache/uploads 

Pages Containing Login Portals,site:in inurl:/admin/login 

Files Containing Juicy Info,intitle:"index of" "particle.js" 

Files Containing Juicy Info,intitle"index of" "username" "password" filetype: xlsx 

Files Containing Juicy Info,intext:pass filetype:txt 

Files Containing Juicy Info,index of:"blog" "upload" 

Files Containing Juicy Info,inurl:/package.json 

Files Containing Passwords,intext:"index of" "uploads" 

Various Online Devices,intitle:" - General Status [none]" 

Pages Containing Login Portals,inurl:newsdesk.cgi? 

Files Containing Juicy Info,index of: "putty" "uploads" 

Pages Containing Login Portals,intext:"untitled" intext:"login" filetype:php 

Files Containing Juicy Info,Intitle:database ext:sql 

Files Containing Juicy Info,index of: "certificate" "wp-content" 

Files Containing Juicy Info,intitle:"index of" "_vti_inf.html" 

Files Containing Juicy Info,index of: "application form" "upload" 

Files Containing Juicy Info,intitle:"index of" "/resources" 

Pages Containing Login Portals,intext:"untitled" intext:"password" filetype:php 

Vulnerable Files,intitle:"index of" "master.xml" 

Files Containing Juicy Info,index of: "documents" "wp-content" 

Files Containing Juicy Info,index of: "cache" "uploads" 

Files Containing Juicy Info,index of :"uploads" "parent" "salary" intext:salary 

Files Containing Juicy Info,index of:"password" "wp-content" 

Files Containing Juicy Info,index of: "certificate" "upload" 

Files Containing Juicy Info,inurl:admin ext:sql 

Files Containing Juicy Info,intitle:"index of" "admin-config" 

Web Server Detection,inurl *:/login.php 

Files Containing Juicy Info,intitle:"index of" ".ssh/authorized_keys" 

Files Containing Juicy Info,inurl:errorlog.axd ext:axd 

Files Containing Juicy Info,intitle:"index of" "untitled" 

Files Containing Juicy Info,index of : "truecaller" "uploads" 

Files Containing Passwords,site:pastebin.com intext:password.txt 

Files Containing Juicy Info,intitle:"index of" "script.js" 

Files Containing Juicy Info,index of :wp-config.zip 

Files Containing Juicy Info,intext:"password" | "passwd" | "pwd" site:anonfiles.com 

Files Containing Juicy Info,intitle:"index of" "service.pwd" 

Files Containing Juicy Info,index of: "parent directory" "uploads" 

Files Containing Juicy Info,intitle:"index of" "admin.login.php" 

Files Containing Juicy Info,intitle:"index of" "admin.login.php" 

Files Containing Juicy Info,intitle:"index of" "untitled" "wp-content" intext:scanned 

Vulnerable Files,intitle:"index of" "stylesheet.css" 

Files Containing Passwords,intext:"password" | "passwd" | "pwd" site:ghostbin.com 

Files Containing Juicy Info,index of: "license" "upload" 

Files Containing Juicy Info,index of: "contracts" "uploads" 

Files Containing Juicy Info,intitle:"index of" " wp-mail-smtp" 

Files Containing Juicy Info,showing putty logs 

Pages Containing Login Portals,inurl:/carbon/admin/login.jsp 

Files Containing Juicy Info,index of: "confidential" "uploads" 

Files Containing Juicy Info,site:*.example.com inurl:(elmah.axd | errorlog.axd) ext:axd 

Vulnerable Files,intitle:"index of" "pres.xml" 

Files Containing Juicy Info,intext:"index of" "ftp" 

Files Containing Juicy Info,index of : "phonebook " 

Files Containing Juicy Info,index of: "QRcodes" "uploads" 

Pages Containing Login Portals,intitle:"webmail Login" 

Files Containing Juicy Info,site:*.example.com inurl:(elmah.axd | errorlog.axd) ext:axd 

Files Containing Juicy Info,intitle:"index of" "shtml.dll " 

Files Containing Juicy Info,index of: "contracts" "uploads" 

Files Containing Juicy Info,intitle:"index of" "master" 

Files Containing Juicy Info,intitle:"index of" "pkgs" 

Files Containing Juicy Info,intitle:"index of" "metin" 

Files Containing Juicy Info,intitle:"index of" "html-en" 

Files Containing Juicy Info,intitle:"index of" "cygwin" 

Files Containing Juicy Info,intitle:"index of" "filelist.xml" 

Files Containing Juicy Info,intitle:"index of" " gettext" 

Files Containing Juicy Info,intitle:"index of" "mirror.koddos.net" 

Files Containing Juicy Info,intitle:"index of" "html-intro" 

Files Containing Juicy Info,intitle:"index of" " src " 

Files Containing Juicy Info,intitle:"index of" "echo-linux" 

Files Containing Juicy Info,intitle:"index of" "txdot" 

Files Containing Juicy Info,intitle:"index of" " src.hint" 

Files Containing Juicy Info,intitle:"index of" "tar.xz" 

Files Containing Juicy Info,intitle:"index of" " cldr-data" 

Files Containing Juicy Info,intitle:"index of" " unidecode" 

Files Containing Juicy Info,intitle:"index of" "-login.php" 

Files Containing Juicy Info,intitle:"index of" "kde-ln-de" 

Files Containing Juicy Info,intitle:"index of" "ftp.riken 

Files Containing Juicy Info,intitle:"index of" "Squid-cache" 

Files Containing Juicy Info,intitle:"index of" "pub" 

Files Containing Juicy Info,intitle:"index of" " Server-Side " 

Files Containing Juicy Info,Google Dork 

Files Containing Juicy Info,intitle:"index of" "DOCS-TECH " 

Pages Containing Login Portals,intitle:"Kerio Connect Client" inurl:"/webmail/login/" 

Files Containing Juicy Info,intitle:"index of" " py-text" 

Files Containing Juicy Info,intitle:"index of" "css" 

Files Containing Juicy Info,Google Dork 

Files Containing Juicy Info,Google Dork 

Files Containing Juicy Info,intitle:"index of" "htdocs" 

Files Containing Juicy Info,intitle:"index of" "wp-content" 

Files Containing Juicy Info,intitle:"index of" "CD.pdf " 

Files Containing Juicy Info,intitle:"index of" "oxid-esales" 

Files Containing Juicy Info,intitle:"index of" "mipsel-nf" 

Pages Containing Login Portals,intitle:"RM Portal" 

Sensitive Directories,intitle:"index of" ".env" 

Files Containing Juicy Info,intitle:"Index of /" intext:"pass.txt" 

Files Containing Juicy Info,intitle:"index of" "-qpf" 

Pages Containing Login Portals,intitle:"I-Portal" inurl:"login.jsp" 

Files Containing Juicy Info,intitle:"index of" "lngs.infn.it " 

Files Containing Juicy Info,site:github.com intext:"unattend xmlns" AND "password" ext:xml 

Files Containing Juicy Info,intitle:"index of" "ppt.html" 

Files Containing Juicy Info,intitle:"index of" "XML.Xerces " 

Files Containing Juicy Info,intitle:"index of" "extra" 

Files Containing Juicy Info,intitle:"index of" "extranet" 

Files Containing Juicy Info,intitle:"index of" "-XML.pdf " 

Files Containing Juicy Info,intitle:"index of" "pptx" 

Files Containing Juicy Info,intitle:"index of" " .AndroidManifest.xml" 

Files Containing Juicy Info,intitle:"index of" "XML " 

Pages Containing Login Portals,intitle:"TOTVS SmartClient HTML - Parâmetros Iniciais" 

Files Containing Juicy Info,intitle:"index of" "slides-ppt" 

Files Containing Juicy Info,intitle:"index of" "-ipk" 

Files Containing Juicy Info,intitle:"index of" "Packages.gz" 

Files Containing Juicy Info,intext:"Index of" "email.txt" 

Files Containing Juicy Info,inurl:WS_FTP.log 

Files Containing Juicy Info,intitle:"index of" "workspace.xml" 

Files Containing Juicy Info,intitle:"index of" "infn.it" 

Files Containing Juicy Info,intitle:"index of" ".phpunit.xml" 

Files Containing Juicy Info,intitle:"index of" "fsi" 

Files Containing Passwords,intext:"/pfx-password.txt" "[To Parent Directory]" 

Files Containing Juicy Info,intitle:"index of" ".ppt" 

Pages Containing Login Portals,intitle:"Gophish - Login" 

Pages Containing Login Portals,intitle:TYPO CMS Login: New TYPO site inurl:/typo/index.php 

Pages Containing Login Portals,intext:"admin" AND "login" | "sign in" AND "©" AND "rights reserved" 

Files Containing Juicy Info,site:pastebin.com intext:license key | expiration 

Files Containing Juicy Info,intitle:index.of /cftp /robots.txt 

Files Containing Juicy Info,"inurl:php?id=" site:.gov.bd 

Files Containing Passwords,inurl:/wp-content/uploads/ ext:txt "username" | "user name" | "uname" | "user" | "userid" | "user id" AND "password" | "pass word" | "pwd" | "pw" 

Files Containing Juicy Info,"inurl:php?id=" site:.com 

Files Containing Passwords,site:pastebin.com intext:username | password | SECRET_KEY 

Files Containing Juicy Info,intitle:"index of" ".private.xml" 

Files Containing Juicy Info,Index of /vendor/spatie/robots-txt 

Files Containing Juicy Info,site:pastebin.com intext:username | password | secret_key | token 

Files Containing Juicy Info,allinurl:index.php?page= site:.gov.in 

Files Containing Juicy Info,site:pastebin.com intext:"administrator::" 

Files Containing Juicy Info,intitle:index.of /email /robots.txt 

Pages Containing Login Portals,inurl:"brandmeister page=login" 

Pages Containing Login Portals,inurl:login/users.pwd 

Pages Containing Login Portals,intitle:Hikvision login page 

Pages Containing Login Portals,intext: "mailenable" inurl:"/lang/sys/login.aspx" 

Files Containing Juicy Info,intitle:"index of" "/backup/sql" 

Pages Containing Login Portals,intitle:"LoRaWAN Login" 

Files Containing Juicy Info,intitle:"index of" "server.log" 

Files Containing Passwords,inurl:password site:shodan.io 

Pages Containing Login Portals,inurl:"wp-login.php?action=login" 

Files Containing Juicy Info,intitle:"password reset" 

Files Containing Juicy Info,Index of /apidoc/api-web/target/classes/ 

Pages Containing Login Portals,intitle:ip camera login page 

Files Containing Juicy Info,intitle:index.of /CMS /robots.txt 

Pages Containing Login Portals,site:.bd http intitle: admin 

Files Containing Juicy Info,intitle:"index of" "server.properties" 

Pages Containing Login Portals,intitle:"Admin Login" inurl:"login.aspx" 

Files Containing Juicy Info,intitle:index of cv site:.com 

Files Containing Juicy Info,intext:swagger filetype:log 

Pages Containing Login Portals,intitle:"Student" inurl:"login.aspx" 

Files Containing Juicy Info,intitle:"index of" ".env.example" 

Pages Containing Login Portals,intitle:"Employee Login" & inurl:("login.aspx" | "login.asp") 

Pages Containing Login Portals,intitle:"HRMS" inurl:"login.aspx" 

Files Containing Juicy Info,inurl:"robots" | "robot" intext:"admin" AND "Disallow" ext:txt 

Files Containing Juicy Info,intitle:index.of wp.login 

Pages Containing Login Portals,inurl:"index.php" intitle:"CMS Login" 

Pages Containing Login Portals,intext:Project hosted at: For support, contact: Copyright Openbravo 

Files Containing Juicy Info,intitle:"index of" "mongod*" 

Files Containing Juicy Info,intitle:index.of /Snowflake /robots.txt 

Files Containing Juicy Info,inurl:/wp-content/plugins/simple-forum/admin/ 

Various Online Devices,intitle:"Microseven MCAM IP Camera" 

Pages Containing Login Portals,intitle:"Journal" inurl:"login.aspx" 

Pages Containing Login Portals,inurl:/designs/imm/index.php 

Pages Containing Login Portals,intitle:"TYPO CMS Login" 

Files Containing Passwords,intitle:"index of" "passwrod*" 

Pages Containing Login Portals,site:*/membership-login/ 

Pages Containing Login Portals,intitle:"Sign in [Jenkins]" inurl:"login?from" 

Files Containing Juicy Info,intext:"password" intitle:"index of" 

Files Containing Juicy Info,inurl:"app.yaml" intext:"runtime: " ext:yaml 

Pages Containing Login Portals,inurl:/phpldapadmin/cmd.php 

Pages Containing Login Portals,intitle:"Sophos" inurl:/userportal/webpages/myaccount/login.jsp 

Pages Containing Login Portals,intitle:"CMS" inurl:"login.php" 

Files Containing Juicy Info,site:*.example.com inurl:(elmah.axd | errorlog.axd) ext:axd 

Files Containing Juicy Info,intitle:"index of" "shtml.dll " 

Files Containing Juicy Info,index of: "contracts" "uploads" 

Files Containing Juicy Info,intitle:"index of" "master" 

Files Containing Juicy Info,intitle:"index of" "pkgs" 

Files Containing Juicy Info,intitle:"index of" "metin" 

Files Containing Juicy Info,intitle:"index of" "html-en" 

Files Containing Juicy Info,intitle:"index of" "cygwin" 

Files Containing Juicy Info,intitle:"index of" "filelist.xml" 

Files Containing Juicy Info,intitle:"index of" " gettext" 

Files Containing Juicy Info,intitle:"index of" "mirror.koddos.net" 

Files Containing Juicy Info,intitle:"index of" "html-intro" 

Files Containing Juicy Info,intitle:"index of" " src " 

Files Containing Juicy Info,intitle:"index of" "echo-linux" 

Files Containing Juicy Info,intitle:"index of" "txdot" 

Files Containing Juicy Info,intitle:"index of" " src.hint" 

Files Containing Juicy Info,intitle:"index of" "tar.xz" 

Files Containing Juicy Info,intitle:"index of" " cldr-data" 

Files Containing Juicy Info,intitle:"index of" " unidecode" 

Files Containing Juicy Info,intitle:"index of" "-login.php" 

Files Containing Juicy Info,intitle:"index of" "kde-ln-de" 

Files Containing Juicy Info,intitle:"index of" "ftp.riken 

Files Containing Juicy Info,intitle:"index of" "Squid-cache" 

Files Containing Juicy Info,intitle:"index of" "pub" 

Files Containing Juicy Info,intitle:"index of" " Server-Side " 

Files Containing Juicy Info,Google Dork 

Files Containing Juicy Info,intitle:"index of" "DOCS-TECH " 

Pages Containing Login Portals,intitle:"Kerio Connect Client" inurl:"/webmail/login/" 

Files Containing Juicy Info,intitle:"index of" " py-text" 

Files Containing Juicy Info,intitle:"index of" "css" 

Files Containing Juicy Info,Google Dork 

Files Containing Juicy Info,Google Dork 

Files Containing Juicy Info,intitle:"index of" "htdocs" 

Files Containing Juicy Info,intitle:"index of" "wp-content" 

Files Containing Juicy Info,intitle:"index of" "CD.pdf " 

Files Containing Juicy Info,intitle:"index of" "oxid-esales" 

Files Containing Juicy Info,intitle:"index of" "mipsel-nf" 

Pages Containing Login Portals,intitle:"RM Portal" 

Sensitive Directories,intitle:"index of" ".env" 

Files Containing Juicy Info,intitle:"Index of /" intext:"pass.txt" 

Files Containing Juicy Info,intitle:"index of" "-qpf" 

Pages Containing Login Portals,intitle:"I-Portal" inurl:"login.jsp" 

Files Containing Juicy Info,intitle:"index of" "lngs.infn.it " 

Files Containing Juicy Info,site:github.com intext:"unattend xmlns" AND "password" ext:xml 

Files Containing Juicy Info,intitle:"index of" "ppt.html" 

Files Containing Juicy Info,intitle:"index of" "XML.Xerces " 

Files Containing Juicy Info,intitle:"index of" "extra" 

Files Containing Juicy Info,intitle:"index of" "extranet" 

Files Containing Juicy Info,intitle:"index of" "-XML.pdf " 

Files Containing Juicy Info,intitle:"index of" "pptx" 

Files Containing Juicy Info,intitle:"index of" " .AndroidManifest.xml" 

Files Containing Juicy Info,intitle:"index of" "XML " 

Pages Containing Login Portals,intitle:"TOTVS SmartClient HTML - Parâmetros Iniciais" 

Files Containing Juicy Info,intitle:"index of" "slides-ppt" 

Files Containing Juicy Info,intitle:"index of" "-ipk" 

Files Containing Juicy Info,intitle:"index of" "Packages.gz" 

Files Containing Juicy Info,intext:"Index of" "email.txt" 

Files Containing Juicy Info,inurl:WS_FTP.log 

Files Containing Juicy Info,intitle:"index of" "workspace.xml" 

Files Containing Juicy Info,intitle:"index of" "infn.it" 

Files Containing Juicy Info,intitle:"index of" ".phpunit.xml" 

Files Containing Juicy Info,intitle:"index of" "fsi" 

Files Containing Passwords,intext:"/pfx-password.txt" "[To Parent Directory]" 

Files Containing Juicy Info,intitle:"index of" ".ppt" 

Pages Containing Login Portals,intitle:"Gophish - Login" 

Pages Containing Login Portals,intitle:TYPO CMS Login: New TYPO site inurl:/typo/index.php 

Pages Containing Login Portals,intext:"admin" AND "login" | "sign in" AND "©" AND "rights reserved" 

Files Containing Juicy Info,site:pastebin.com intext:license key | expiration 

Files Containing Juicy Info,intitle:index.of /cftp /robots.txt 

Files Containing Juicy Info,"inurl:php?id=" site:.gov.bd 

Files Containing Passwords,inurl:/wp-content/uploads/ ext:txt "username" | "user name" | "uname" | "user" | "userid" | "user id" AND "password" | "pass word" | "pwd" | "pw" 

Files Containing Juicy Info,"inurl:php?id=" site:.com 

Files Containing Passwords,site:pastebin.com intext:username | password | SECRET_KEY 

Files Containing Juicy Info,intitle:"index of" ".private.xml" 

Files Containing Juicy Info,Index of /vendor/spatie/robots-txt 

Files Containing Juicy Info,site:pastebin.com intext:username | password | secret_key | token 

Files Containing Juicy Info,allinurl:index.php?page= site:.gov.in 

Files Containing Juicy Info,site:pastebin.com intext:"administrator::" 

Files Containing Juicy Info,intitle:index.of /email /robots.txt 

Pages Containing Login Portals,inurl:"brandmeister page=login" 

Pages Containing Login Portals,inurl:login/users.pwd 

Pages Containing Login Portals,intitle:Hikvision login page 

Pages Containing Login Portals,intext: "mailenable" inurl:"/lang/sys/login.aspx" 

Files Containing Juicy Info,intitle:"index of" "/backup/sql" 

Pages Containing Login Portals,intitle:"LoRaWAN Login" 

Files Containing Juicy Info,intitle:"index of" "server.log" 

Files Containing Passwords,inurl:password site:shodan.io 

Pages Containing Login Portals,inurl:"wp-login.php?action=login" 

Files Containing Juicy Info,intitle:"password reset" 

Files Containing Juicy Info,Index of /apidoc/api-web/target/classes/ 

Pages Containing Login Portals,intitle:ip camera login page 

